season,week,date,kickoff_hr,opponent,attendance,completed,conf_game,opp_p4,opp_fcs,opp_ranked,opp_ap_rank,opp_elo,opp_sp,getin,observed,log_getin,rel_log_price
2023,1,2023-09-02,15.0,SE Louisiana,50041.0,1,0,0,1,0,30,862.0,-36.3,8.0,,2.0794415416798357,-0.6352312727973843
2023,2,2023-09-09,18.5,Arizona,51648.0,1,0,0,0,0,30,1416.0,14.1,12.0,,2.4849066497880004,-0.22976616468921973
2023,3,2023-09-16,11.0,LSU,60084.0,1,1,1,0,1,14,1687.0,19.1,31.0,,3.4339872044851463,0.7193143900079262
2023,5,2023-09-30,20.0,Alabama,60111.0,1,1,1,0,1,12,1959.0,23.1,25.0,,3.2188758248682006,0.5042030103909805
2023,6,2023-10-07,11.0,Western Michigan,47158.0,1,0,0,0,0,30,1249.0,-15.9,6.0,,1.791759469228055,-0.9229133452491651
2023,10,2023-11-04,18.5,Kentucky,52329.0,1,1,1,0,0,30,1600.0,10.5,10.0,,2.302585092994046,-0.4120877214831742
2023,12,2023-11-18,11.0,Southern Miss,,1,0,0,0,0,30,1184.0,-14.4,19.0,,2.9444389791664403,0.22976616468922018
2023,13,2023-11-23,18.5,Ole Miss,60412.0,1,1,1,0,1,12,1676.0,18.4,63.0,,4.143134726391533,1.4284619119143125
2024,1,2024-08-31,17.0,Eastern Kentucky,48724.0,1,0,0,1,0,30,660.0,-43.0,,,,
2024,3,2024-09-14,18.5,Toledo,47412.0,1,0,0,0,0,30,1524.0,-2.5,,,,
2024,4,2024-09-21,11.0,Florida,49655.0,1,1,1,0,0,30,1485.0,13.8,,,,
2024,8,2024-10-19,15.25,Texas A&M,50127.0,1,1,1,0,1,14,1781.0,17.0,10.0,,2.302585092994046,0.05268025782891339
2024,9,2024-10-26,11.75,Arkansas,49303.0,1,1,1,0,0,30,1490.0,11.0,,,,
2024,10,2024-11-02,15.25,Massachusetts,48617.0,1,0,0,0,0,30,1025.0,-21.9,,,,
2024,13,2024-11-23,15.25,Missouri,47824.0,1,1,1,0,0,30,1684.0,14.0,9.0,,2.1972245773362196,-0.052680257828912946
2025,2,2025-09-06,18.5,Arizona State,50808.0,1,0,1,0,1,12,1700.0,3.9,32.0,,3.4657359027997265,-0.3409265869705931
2025,3,2025-09-13,17.0,Alcorn State,49158.0,1,0,0,1,0,30,618.0,-46.6,26.0,,3.258096538021482,-0.5485659517488375
2025,4,2025-09-20,15.25,Northern Illinois,45803.0,1,0,0,0,0,30,1453.0,-16.7,11.0,,2.3978952727983707,-1.408767216971949
2025,5,2025-09-27,15.25,Tennessee,60417.0,1,1,1,0,1,15,1838.0,15.0,95.0,,4.553876891600541,0.7472144018302211
2025,9,2025-10-25,15.25,Texas,52680.0,1,1,1,0,1,22,1944.0,16.2,48.0,,3.871201010907891,0.06453852113757153
2025,11,2025-11-08,11.0,Georgia,53017.0,1,1,1,0,1,5,2017.0,24.1,45.0,,3.8066624897703196,0.0
2025,14,2025-11-28,11.0,Ole Miss,60417.0,1,1,1,0,1,6,1959.0,24.0,133.0,,4.890349128221754,1.083686638451434
2026,1,2026-09-05,18.5,UL Monroe,,0,0,0,0,0,30,1177.0,-28.9,32.0,2026-09-03,3.4657359027997265,-0.36290549368936853
2026,4,2026-09-26,,Missouri,,0,1,1,0,1,25,1750.0,15.4,46.0,2026-09-03,3.828641396489095,0.0
2026,5,2026-10-03,,Alabama,,0,1,1,0,1,13,1857.0,17.6,93.0,2026-09-03,4.532599493153256,0.7039580966641612
2026,8,2026-10-24,,Oklahoma,,0,1,1,0,1,10,1810.0,18.8,46.0,2026-09-03,3.828641396489095,0.0
2026,10,2026-11-07,,Vanderbilt,,0,1,1,0,0,30,1880.0,9.8,34.0,2026-09-03,3.5263605246161616,-0.3022808718729335
2026,11,2026-11-14,,Auburn,,0,1,1,0,0,30,1670.0,11.5,83.0,2026-09-03,4.418840607796598,0.5901992113075032
2026,12,2026-11-21,12.0,Tennessee Tech,,0,0,0,1,0,30,805.0,-42.9,19.0,2026-09-03,2.9444389791664403,-0.8842024173226548
