opponent,date,getin,observed,recorded_at
Ole Miss,2025-11-28,133,,2026-09-05T12:33:08.726023+00:00
Georgia,2025-11-08,45,,2026-09-05T12:33:08.726023+00:00
Texas,2025-10-25,48,,2026-09-05T12:33:08.726023+00:00
Tennessee,2025-09-27,95,,2026-09-05T12:33:08.726023+00:00
Northern Illinois,2025-09-20,11,,2026-09-05T12:33:08.726023+00:00
Alcorn State,2025-09-13,26,,2026-09-05T12:33:08.726023+00:00
Arizona State,2025-09-06,32,,2026-09-05T12:33:08.726023+00:00
Missouri,2024-11-23,9,,2026-09-05T12:33:08.726023+00:00
UMass,2024-11-02,,,2026-09-05T12:33:08.726023+00:00
Arkansas,2024-10-26,,,2026-09-05T12:33:08.726023+00:00
Texas A&M,2024-10-19,10,,2026-09-05T12:33:08.726023+00:00
Florida,2024-09-21,,,2026-09-05T12:33:08.726023+00:00
Toledo,2024-09-14,,,2026-09-05T12:33:08.726023+00:00
Eastern Kentucky,2024-08-31,,,2026-09-05T12:33:08.726023+00:00
Ole Miss,2023-11-23,63,,2026-09-05T12:33:08.726023+00:00
Southern Miss,2023-11-18,19,,2026-09-05T12:33:08.726023+00:00
Kentucky,2023-11-04,10,,2026-09-05T12:33:08.726023+00:00
Western Michigan,2023-10-07,6,,2026-09-05T12:33:08.726023+00:00
Alabama,2023-09-30,25,,2026-09-05T12:33:08.726023+00:00
LSU,2023-09-16,31,,2026-09-05T12:33:08.726023+00:00
Arizona,2023-09-09,12,,2026-09-05T12:33:08.726023+00:00
Southeastern Louisiana,2023-09-02,8,,2026-09-05T12:33:08.726023+00:00
Louisiana Monroe,2026-09-05,30,2026-09-04,2026-09-05T12:33:08.726023+00:00
Missouri,2026-09-26,46,2026-09-04,2026-09-05T12:33:08.726023+00:00
Alabama,2026-10-03,92,2026-09-04,2026-09-05T12:33:08.726023+00:00
Oklahoma,2026-10-24,49,2026-09-04,2026-09-05T12:33:08.726023+00:00
Vanderbilt,2026-11-07,40,2026-09-04,2026-09-05T12:33:08.726023+00:00
Auburn,2026-11-14,82,2026-09-04,2026-09-05T12:33:08.726023+00:00
Tennessee Tech,2026-11-21,16,2026-09-04,2026-09-05T12:33:08.726023+00:00
Louisiana Monroe,2026-09-05,32,2026-09-05,2026-09-05T12:33:08.728328+00:00
Missouri,2026-09-26,46,2026-09-05,2026-09-05T12:33:08.728328+00:00
Alabama,2026-10-03,89,2026-09-05,2026-09-05T12:33:08.728328+00:00
Oklahoma,2026-10-24,46,2026-09-05,2026-09-05T12:33:08.728328+00:00
Vanderbilt,2026-11-07,40,2026-09-05,2026-09-05T12:33:08.728328+00:00
Auburn,2026-11-14,80,2026-09-05,2026-09-05T12:33:08.728328+00:00
Tennessee Tech,2026-11-21,16,2026-09-05,2026-09-05T12:33:08.728328+00:00
Missouri,2026-09-26,44,2026-09-05,2026-09-05T16:34:46.536981+00:00
Louisiana Monroe,2026-09-05,29,2026-09-05,2026-09-05T16:34:46.536981+00:00
Louisiana Monroe,2026-09-05,30,2026-09-05,2026-09-05T20:32:20.086213+00:00
Alabama,2026-10-03,88,2026-09-05,2026-09-05T20:32:20.086213+00:00
